State,Cd,Var,Value
01,01,DP02_0147PE,0.1
01,01,DP02_0132PE,0.3
01,01,DP02_0119PE,0.5
01,01,DP02_0111PE,95.4
01,01,DP02_0149PE,0.2
01,01,DP02_0126PE,0.1
01,01,DP02_0079PE,88.1
01,01,DP02_0131PE,7.2
01,01,DP02_0037PE,39.4
01,01,DP02_0021PE,8.9
01,01,DP02_0104PE,15.4
01,01,DP02_0003PE,25.4
01,01,DP02_0018PE,38.0
01,01,DP02_0081PE,8.2
01,01,DP02_0069PE,9.7
01,01,DP02_0146PE,0.1
01,01,DP02_0067PE,24.0
01,01,DP02_0023PE,1.5
01,01,DP02_0060PE,9.5
01,01,DP02_0148PE,0.4
01,01,DP02_0056PE,23.0
01,01,DP02_0127PE,0.6
01,01,DP02_0057PE,21.5
01,01,DP02_0044PE,53.5
01,01,DP02_0071PE,14.8
01,01,DP02_0130PE,0.3
01,01,DP02_0022PE,4.1
01,01,DP02_0105PE,39.7
01,01,DP02_0002PE,66.2
01,01,DP02_0082PE,3.5
01,01,DP02_0092PE,2.9
01,01,DP02_0089PE,68.4
01,01,DP02_0106PE,3.3
01,01,DP02_0145PE,0.4
01,01,DP02_0055PE,44.3
01,01,DP02_0134PE,8.2
01,01,DP02_0117PE,0.2
01,01,DP02_0005PE,16.1
01,01,DP02_0077PE,38.3
01,01,DP02_0128PE,7.2
01,01,DP02_0083PE,1.4
01,01,DP02_0099PE,86.0
01,01,DP02_0139PE,0.1
01,01,DP02_0091PE,0.8
01,01,DP02_0061PE,32.6
01,01,DP02_0144PE,0.5
01,01,DP02_0107PE,0.5
01,01,DP02_0084PE,2.1
01,01,DP02_0129PE,2.7
01,01,DP02_0118PE,1.1
01,01,DP02_0054PE,5.1
01,01,DP02_0133PE,0.2
01,01,DP02_0004PE,47.2
01,01,DP02_0098PE,14.0
01,01,DP02_0090PE,28.0
01,01,DP02_0020PE,31.1
01,01,DP02_0031PE,27.4
01,01,DP02_0062PE,21.6
01,01,DP02_0143PE,0.0
01,01,DP02_0029PE,11.4
01,01,DP02_0011PE,29.8
01,01,DP02_0064PE,15.9
01,01,DP02_0053PE,6.1
01,01,DP02_0032PE,44.4
01,01,DP02_0085PE,0.2
01,01,DP02_0120PE,0.3
01,01,DP02_0108PE,37.9
01,01,DP02_0026PE,49.5
01,01,DP02_0115PE,0.8
01,01,DP02_0137PE,0.5
01,01,DP02_0048PE,25.0
01,01,DP02_0142PE,1.8
01,01,DP02_0121PE,0.1
01,01,DP02_0007PE,1.6
01,01,DP02_0010PE,33.8
01,01,DP02_0063PE,8.7
01,01,DP02_0012PE,11.7
01,01,DP02_0075PE,12.7
01,01,DP02_0028PE,3.4
01,01,DP02_0033PE,3.2
01,01,DP02_0027PE,2.1
01,01,DP02_0109PE,3.2
01,01,DP02_0101PE,18.9
01,01,DP02_0116PE,0.8
01,01,DP02_0123PE,16.3
01,01,DP02_0138PE,0.6
01,01,DP02_0141PE,1.6
01,01,DP02_0034PE,11.1
01,01,DP02_0006PE,3.9
01,01,DP02_0013PE,29.6
01,01,DP02_0102PE,81.1
01,01,DP02_0009PE,7.7
01,01,DP02_0087PE,97.1
01,01,DP02_0066PE,87.0
01,01,DP02_0051PE,66.2
01,01,DP02_0045PE,9.5
